id,Fleet,Vehicle ID,Date,Energy Consumption Rate,Total Distance,Total Run Time,Idling Time,Driving Time,Initial SOC,Final SOC,SOC Used,Min SOC,Max SOC,Total Energy Consumption,Average Ambient Temperature,Average Speed,Initial Odometer,Final Odometer,Percent Idling Time,Average Driving Speed,Fleet_full,Region,Fleet ID,Model Year,Initial Service Year,Data Collection Start,Data Collection End,Model Name,Manufacturer,Weight Class,Curb Weight,Capital Cost,Nominal Range,Nominal Efficiency,Peak Power,Peak Torque,Towing Capacity,Battery Chemistry,Rated Energy,Fuel Fired Heater?,Max Charge Rate,Charge Connector,Total Fleet Size,% Electrified,State,Census Region,Body Style,Sector,Vocation,Vehicle Platform,Fleet Type,Data Collection Method,Heater Type,vehicle_name
23,NC1,EV055,4/23/22,3.389819562,7.69101791,0.962777778,0.015,0.947777778,NA,NA,12.4148395,NA,NA,26.07116296,66.20362815,7.988362513,525.7067651,533.5247257,0.015579919,8.11479029,NC1 Lion,NC,Fleet10,2017,2015,44197,2022-06-30T00:00:00Z,Lion C,Lion Electric,8,NA,NA,155,NA,250,2500,NA,Lithium-ion,210,FALSE,50,NA,Medium,NA,CA,West Coast,"(BSC) Bus, School",(PTR) Passenger Transportation,(PSC) School Bus,(SCH) School Bus,(GLO) Government: Local,(GEO) Geotab,Electric,School Bus
28,NC1,EV055,4/29/22,3.720070687,25.72405569,3.396944444,0.401944445,2.995000001,NA,NA,45.56919312,NA,NA,95.69530554,60.8356338,7.572704269,634.9118233,643.0563009,0.118325293,8.589000229,NC1 Lion,NC,Fleet10,2017,2015,44197,2022-06-30T00:00:00Z,Lion C,Lion Electric,8,NA,NA,155,NA,250,2500,NA,Lithium-ion,210,FALSE,50,NA,Medium,NA,CA,West Coast,"(BSC) Bus, School",(PTR) Passenger Transportation,(PSC) School Bus,(SCH) School Bus,(GLO) Government: Local,(GEO) Geotab,Electric,School Bus
60,NC1,EV055,6/16/22,3.381030773,14.42656414,1.0425,0.045,0.9975,NA,NA,23.22697967,NA,NA,48.77665731,69.776,13.83843083,1646.846834,1661.302161,0.043165468,14.46272094,NC1 Lion,NC,Fleet10,2017,2015,44197,2022-06-30T00:00:00Z,Lion C,Lion Electric,8,NA,NA,155,NA,250,2500,NA,Lithium-ion,210,FALSE,50,NA,Medium,NA,CA,West Coast,"(BSC) Bus, School",(PTR) Passenger Transportation,(PSC) School Bus,(SCH) School Bus,(GLO) Government: Local,(GEO) Geotab,Electric,School Bus
69,NC1,EV056,6/3/21,3.37170264,26.21433757,3.764444444,1.555555555,2.208888889,NA,NA,42.08902437,NA,NA,88.38695119,73.17683519,6.963667006,13348.95093,13364.59149,0.41322314,11.86765785,NC1 Lion,NC,Fleet10,2017,2015,44197,2022-02-21T00:00:00Z,Lion C,Lion Electric,8,NA,NA,155,NA,250,2500,NA,Lithium-ion,210,FALSE,50,NA,Medium,NA,CA,West Coast,"(BSC) Bus, School",(PTR) Passenger Transportation,(PSC) School Bus,(SCH) School Bus,(GLO) Government: Local,(GEO) Geotab,Electric,School Bus
74,NC1,EV057,4/15/21,2.159142575,14.64077386,1.221666667,0.132777778,1.088888889,NA,NA,15.05310389,NA,NA,31.61151817,45.22103519,11.98426237,17143.60584,17158.96463,0.108685766,13.44560865,NC1 Lion,NC,Fleet10,2017,2015,44217,2022-05-23T00:00:00Z,Lion C,Lion Electric,8,NA,NA,155,NA,250,2500,NA,Lithium-ion,210,FALSE,50,NA,Medium,NA,CA,West Coast,"(BSC) Bus, School",(PTR) Passenger Transportation,(PSC) School Bus,(SCH) School Bus,(GLO) Government: Local,(GEO) Geotab,Electric,School Bus
75,NC1,EV057,4/16/21,3.690458164,11.33344083,1.025,0.281944444,0.743055556,NA,NA,19.91694726,NA,NA,41.82558924,44.474,11.05701544,17183.48288,17195.96222,0.27506775,15.25248111,NC1 Lion,NC,Fleet10,2017,2015,44217,2022-05-23T00:00:00Z,Lion C,Lion Electric,8,NA,NA,155,NA,250,2500,NA,Lithium-ion,210,FALSE,50,NA,Medium,NA,CA,West Coast,"(BSC) Bus, School",(PTR) Passenger Transportation,(PSC) School Bus,(SCH) School Bus,(GLO) Government: Local,(GEO) Geotab,Electric,School Bus
77,NC1,EV057,4/19/21,3.447004484,23.86719384,2.368055555,0.457777777,1.910277778,NA,NA,39.17634486,NA,NA,82.27032419,58.21431408,10.078815,17227.44638,17243.30462,0.193313783,12.49409594,NC1 Lion,NC,Fleet10,2017,2015,44217,2022-05-23T00:00:00Z,Lion C,Lion Electric,8,NA,NA,155,NA,250,2500,NA,Lithium-ion,210,FALSE,50,NA,Medium,NA,CA,West Coast,"(BSC) Bus, School",(PTR) Passenger Transportation,(PSC) School Bus,(SCH) School Bus,(GLO) Government: Local,(GEO) Geotab,Electric,School Bus
78,NC1,EV057,4/20/21,2.686367535,14.08140115,1.306666667,0.213333333,1.093333333,NA,NA,18.01324709,NA,NA,37.8278189,50.405,10.77658251,17273.80252,17288.6563,0.163265306,12.87933032,NC1 Lion,NC,Fleet10,2017,2015,44217,2022-05-23T00:00:00Z,Lion C,Lion Electric,8,NA,NA,155,NA,250,2500,NA,Lithium-ion,210,FALSE,50,NA,Medium,NA,CA,West Coast,"(BSC) Bus, School",(PTR) Passenger Transportation,(PSC) School Bus,(SCH) School Bus,(GLO) Government: Local,(GEO) Geotab,Electric,School Bus
79,NC1,EV057,4/21/21,3.19271071,10.32982597,0.840833333,0.125,0.715833333,NA,NA,15.70483143,NA,NA,32.98014601,66.404,12.28522415,17296.95986,17307.50316,0.148662042,14.4304903,NC1 Lion,NC,Fleet10,2017,2015,44217,2022-05-23T00:00:00Z,Lion C,Lion Electric,8,NA,NA,155,NA,250,2500,NA,Lithium-ion,210,FALSE,50,NA,Medium,NA,CA,West Coast,"(BSC) Bus, School",(PTR) Passenger Transportation,(PSC) School Bus,(SCH) School Bus,(GLO) Government: Local,(GEO) Geotab,Electric,School Bus
80,NC1,EV057,4/22/21,2.110538401,13.68538527,1.153333333,0.263055556,0.890277778,NA,NA,13.75406245,NA,NA,28.88353114,48.9155,11.86594099,17328.97562,17343.70853,0.228082852,15.37203961,NC1 Lion,NC,Fleet10,2017,2015,44217,2022-05-23T00:00:00Z,Lion C,Lion Electric,8,NA,NA,155,NA,250,2500,NA,Lithium-ion,210,FALSE,50,NA,Medium,NA,CA,West Coast,"(BSC) Bus, School",(PTR) Passenger Transportation,(PSC) School Bus,(SCH) School Bus,(GLO) Government: Local,(GEO) Geotab,Electric,School Bus
